Num_PEs,Pipeline,Merged_QQ,Joint_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad 2 Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Cycles,Avg_Cycles_per_Node
4,True,True,True,5000000,1,5000000,2,5000000,1,False,29814,372587,506048,506048,1577772,8484524,62060306,0.5162996304091562,18813218,939079,2.5204287857601044
4,True,True,True,5000000,1,5000000,2,5000000,2,False,29814,407786,506048,506048,1577772,4906719,42304399,0.5622589449153047,18813218,587813,1.4414742046073186
4,True,True,True,5000000,1,5000000,2,5000000,4,False,29814,422243,506048,506048,1577772,4098508,37707684,0.6088760494431905,18813218,483828,1.145852033071004
4,True,True,True,5000000,1,5000000,2,5000000,8,False,29814,430112,506048,506048,1577772,3839498,35440771,0.6060084602685968,18813218,456893,1.0622651774421545
4,True,True,True,5000000,1,5000000,2,5000000,16,False,29814,430028,506048,506048,1577772,3881286,36420244,0.6312340268703537,18813218,450757,1.048203837889626
4,True,True,True,5000000,1,5000000,4,5000000,1,False,29814,372193,506048,506048,1577772,8455594,62114544,0.5200202266455917,18813218,933175,2.507234150024315
4,True,True,True,5000000,1,5000000,4,5000000,2,False,29814,406994,506048,506048,1577772,4932635,42746472,0.5686762136591895,18813218,587253,1.4429033351843026
4,True,True,True,5000000,1,5000000,4,5000000,4,False,29814,422601,506048,506048,1577772,4106096,37452858,0.603956160869646,18813218,484473,1.146407604336005
4,True,True,True,5000000,1,5000000,4,5000000,8,False,29814,429854,506048,506048,1577772,3818217,35518558,0.6083851692146799,18813218,456107,1.0610742252020453
4,True,True,True,5000000,1,5000000,4,5000000,16,False,29814,429204,506048,506048,1577772,3936773,36762629,0.6388818080883465,18813218,449548,1.0473993718604673
4,True,True,True,5000000,1,5000000,8,5000000,1,False,29814,372390,506048,506048,1577772,8484527,61752189,0.5149168414181056,18813218,936926,2.5159805580171324
4,True,True,True,5000000,1,5000000,8,5000000,2,False,29814,408118,506048,506048,1577772,4886022,42014571,0.5583727044487615,18813218,587849,1.4403897892276254
4,True,True,True,5000000,1,5000000,8,5000000,4,False,29814,422344,506048,506048,1577772,4134924,38284091,0.6174878883370873,18813218,484373,1.1468684295266418
4,True,True,True,5000000,1,5000000,8,5000000,8,False,29814,429074,506048,506048,1577772,3939204,36413366,0.6239787982658934,18813218,455912,1.0625486512815971
4,True,True,True,5000000,1,5000000,8,5000000,16,False,29814,430103,506048,506048,1577772,3857667,36070050,0.6260255558307805,18813218,450137,1.0465795402496612
4,True,True,True,5000000,1,5000000,16,5000000,1,False,29814,372554,506048,506048,1577772,8497907,61744752,0.5139207024287551,18813218,938629,2.5194441611148988
4,True,True,True,5000000,1,5000000,16,5000000,2,False,29814,408819,506048,506048,1577772,4883323,41797812,0.5547285626798583,18813218,588658,1.4398988305338059
4,True,True,True,5000000,1,5000000,16,5000000,4,False,29814,421368,506048,506048,1577772,4154331,38211490,0.6166670087978054,18813218,484098,1.148872244688728
4,True,True,True,5000000,1,5000000,16,5000000,8,False,29814,428725,506048,506048,1577772,3905695,35883608,0.6158261427815134,18813218,455227,1.0618158493206602
4,True,True,True,5000000,1,5000000,16,5000000,16,False,29814,429929,506048,506048,1577772,3922430,36384845,0.6315634449624958,18813218,450084,1.046879833646951
4,True,True,True,5000000,2,5000000,1,5000000,1,False,29814,373132,506048,506048,1577772,8425705,61235259,0.5117200912382994,18813218,934887,2.505512794399837
4,True,True,True,5000000,2,5000000,1,5000000,2,False,29814,408290,506048,506048,1577772,4837965,41810406,0.5562327637366473,18813218,587243,1.438298758235568
4,True,True,True,5000000,2,5000000,1,5000000,4,False,29814,422714,506048,506048,1577772,4102261,37551082,0.6044484125308026,18813218,485348,1.1481711038669171
4,True,True,True,5000000,2,5000000,1,5000000,8,False,29814,430192,506048,506048,1577772,3873388,35563333,0.6083478335541153,18813218,456710,1.0616422434633839
4,True,True,True,5000000,2,5000000,1,5000000,16,False,29814,429612,506048,506048,1577772,3956154,37019521,0.6431731069130849,18813218,449669,1.0466863123004013
4,True,True,True,5000000,2,5000000,2,5000000,1,False,29814,370373,506048,506048,1577772,7938076,56025689,0.4765053880976176,18813218,918564,2.480105191253142
4,True,True,True,5000000,2,5000000,2,5000000,2,False,29814,397989,506048,506048,1577772,3619077,30870508,0.45345738305193095,18813218,531860,1.3363685931018194
4,True,True,True,5000000,2,5000000,2,5000000,4,False,29814,419698,506048,506048,1577772,2132383,21564002,0.43359439343439543,18813218,388540,0.9257609042692603
4,True,True,True,5000000,2,5000000,2,5000000,8,False,29814,427691,506048,506048,1577772,1668054,18010873,0.40840181725237856,18813218,344538,0.8055769235265647
4,True,True,True,5000000,2,5000000,2,5000000,16,False,29814,427708,506048,506048,1577772,1604479,17641398,0.41246714552707814,18813218,334144,0.7812432781243278
4,True,True,True,5000000,2,5000000,4,5000000,1,False,29814,368944,506048,506048,1577772,7831365,55174797,0.47313931694398437,18813218,911049,2.469342230799254
4,True,True,True,5000000,2,5000000,4,5000000,2,False,29814,397945,506048,506048,1577772,3508364,29599931,0.4384399671192958,18813218,527437,1.3254017514983227
4,True,True,True,5000000,2,5000000,4,5000000,4,False,29814,421582,506048,506048,1577772,1949194,19479754,0.4000104562575239,18813218,380454,0.9024436527176207
4,True,True,True,5000000,2,5000000,4,5000000,8,False,29814,430373,506048,506048,1577772,1505864,16001422,0.3724104413863162,18813218,335681,0.7799769037555795
4,True,True,True,5000000,2,5000000,4,5000000,16,False,29814,431651,506048,506048,1577772,1403285,15187846,0.3655569904986953,18813218,324587,0.7519662875795492
4,True,True,True,5000000,2,5000000,8,5000000,1,False,29814,370509,506048,506048,1577772,7816341,54113975,0.4619427984216392,18813218,915190,2.4700884458947017
4,True,True,True,5000000,2,5000000,8,5000000,2,False,29814,398325,506048,506048,1577772,3472166,29200865,0.43392670458003796,18813218,525738,1.319871963848616
4,True,True,True,5000000,2,5000000,8,5000000,4,False,29814,421906,506048,506048,1577772,1919806,18922317,0.38861474001982105,18813218,380404,0.9016321171066541
4,True,True,True,5000000,2,5000000,8,5000000,8,False,29814,431518,506048,506048,1577772,1470250,15513811,0.36243211498839756,18813218,334412,0.7749665135637447
4,True,True,True,5000000,2,5000000,8,5000000,16,False,29814,432963,506048,506048,1577772,1370858,14652532,0.3552323249484869,18813218,322248,0.7442853084443706
4,True,True,True,5000000,2,5000000,16,5000000,1,False,29814,370376,506048,506048,1577772,7836701,54352814,0.4624928761915446,18813218,918136,2.4789295202712918
