NumPEs,Pipeline,Merged_QQ,Joint Scratchpad,Scratchpad_0_Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
8,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,881381,1011909,1011909,3154983,1231636,15953395,0.223145078503497,37619517,279271,0.316856160956499
8,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,917440,1011909,1011909,3154983,727778,9282044,0.136675591816348,37619517,265285,0.289157874084409
16,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,768400,1011909,1011909,3154983,267970782,2274926465,1.17959935178366,37619517,3766716,4.90202498698594
16,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,588259,1011909,1011909,3154983,94592856,1014448124,1.51702392759631,37619517,1306073,2.22023462454463
16,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,531889,1011909,1011909,3154983,37859387,408206096,1.42947115651832,37619517,557743,1.0486078862319
16,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,582741,1011909,1011909,3154983,12403753,136557401,0.964864643080336,37619517,276426,0.474354816290599
16,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,701134,1011909,1011909,3154983,5038220,59558984,0.613055951182621,37619517,189748,0.270630150584624
16,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,814309,1011909,1011909,3154983,2100371,26898809,0.34684810969984,37619517,151469,0.186009242191846
16,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,875352,1011909,1011909,3154983,1177511,15189702,0.212677061677838,37619517,139495,0.159358749394529
32,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,766203,1011909,1011909,3154983,1126448771,13784386993,3.59331192047533,37619517,3746214,4.88932306451423
32,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,588093,1011909,1011909,3154983,195117104,1932846130,1.45182259868745,37619517,1300121,2.21074047812166
32,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,511176,1011909,1011909,3154983,83400125,904908642,1.66336612075006,37619517,531272,1.03931326979357
32,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,505554,1011909,1011909,3154983,27527397,281368476,1.21475484795886,37619517,226197,0.447424014051911
32,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,569987,1011909,1011909,3154983,11332959,127511553,0.953475914643776,37619517,130599,0.229126278318628
32,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,685924,1011909,1011909,3154983,4268733,52919713,0.591236683025346,37619517,87409,0.1274324852316
32,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,798150,1011909,1011909,3154983,1965996,25306200,0.328858864341034,37619517,75148,0.094152728183925
64,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,761933,1011909,1011909,3154983,2068432001,18347684143,2.40560464899477,37619517,3724149,4.88776440973156
64,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,585779,1011909,1011909,3154983,490780944,4720222203,1.78501968540491,37619517,1291188,2.20422377722657
64,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,504891,1011909,1011909,3154983,133688634,1147865046,1.07772368475212,37619517,520060,1.03004410853036
64,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,495285,1011909,1011909,3154983,52533052,440527669,0.982727683769822,37619517,218882,0.441931413226728
64,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,533087,1011909,1011909,3154983,25236568,232243361,0.961596202912611,37619517,117929,0.221219050548972
64,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,567233,1011909,1011909,3154983,9066637,105008101,0.885200815158163,37619517,57923,0.102115003887291
64,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,669318,1011909,1011909,3154983,3984407,49441692,0.554364176813516,37619517,43548,0.065063243480677
1,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,456421,506048,506048,1577772,5134119,27215322,0.315763903146988,18813218,2693401,5.90113294524135
1,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,453030,506048,506048,1577772,2271296,13304241,0.231983860604637,18813218,1792183,3.95599187691764
1,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,460806,506048,506048,1577772,975685,6628782,0.153276558944857,18813218,1351475,2.9328502667066
1,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,472231,506048,506048,1577772,424133,3401235,0.093856709443899,18813218,1132456,2.3980975412457
1,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,476100,506048,506048,1577772,191687,1709810,0.051789574054599,18813218,1031705,2.16699222852342
1,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,476257,506048,506048,1577772,92694,795408,0.025263648966748,18813218,983884,2.06586779826858
1,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,476357,506048,506048,1577772,57253,450258,0.014577313654574,18813218,965237,2.02628910669939
2,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,422065,506048,506048,1577772,10197829,65326025,0.483769654995336,18813218,2109928,4.99905938658737
2,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,421450,506048,506048,1577772,4742318,35614238,0.458742438412945,18813218,1213039,2.87825127535888
2,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,431633,506048,506048,1577772,2076649,18378618,0.355544599091966,18813218,807679,1.87121698294616
2,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,449154,506048,506048,1577772,867790,8868468,0.224676349365143,18813218,616753,1.37314373243921
2,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,466051,506048,506048,1577772,387702,4320758,0.124818294134939,18813218,540881,1.16056182692452
2,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,474536,506048,506048,1577772,183495,2174670,0.06714517513872,18813218,506056,1.06642277930442
2,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,476032,506048,506048,1577772,114280,1283301,0.040604705573241,18813218,493824,1.03737563861253
4,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,386916,506048,506048,1577772,22574324,192856608,0.793693117796633,18813218,1898331,4.90631299817015
4,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,365806,506048,506048,1577772,9162176,77572796,0.695493194400134,18813218,871378,2.38207683854283
4,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,385136,506048,506048,1577772,4082105,39119326,0.592479207135269,18813218,515832,1.33935025549416
4,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,413621,506048,506048,1577772,1692788,18644865,0.412146870800028,18813218,353425,0.854465803235329
4,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,443178,506048,506048,1577772,735021,8800039,0.236674198968966,18813218,290485,0.655458980364549
4,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,462344,506048,506048,1577772,349116,4445777,0.13183166002118,18813218,263462,0.569839772982887
4,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,471556,506048,506048,1577772,216196,2690856,0.082306813643731,18813218,255414,0.541640865559976
8,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,386423,506048,506048,1577772,47886182,498694235,1.02439230341235,18813218,1901639,4.92113305885002
8,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,305116,506048,506048,1577772,22235406,231301233,1.31868837829993,18813218,685166,2.24559184048034
8,True,True,False,5000000,4,NA,NA,NA,NA,False,29814,313997,506048,506048,1577772,8154122,83265236,0.929251718840174,18813218,350018,1.11471765653812
8,True,True,False,5000000,8,NA,NA,NA,NA,False,29814,361767,506048,506048,1577772,3149670,34704746,0.632437062347799,18813218,214354,0.592519494591823
8,True,True,False,5000000,16,NA,NA,NA,NA,False,29814,405871,506048,506048,1577772,1352095,16411518,0.396062647116062,18813218,161862,0.398801589667653
8,True,True,False,5000000,32,NA,NA,NA,NA,False,29814,440556,506048,506048,1577772,618604,8028773,0.224324749164926,18813218,139808,0.317344446562979
8,True,True,False,5000000,64,NA,NA,NA,NA,False,29814,458001,506048,506048,1577772,368565,4705866,0.138218935158729,18813218,132994,0.290379278647863
16,True,True,False,5000000,1,NA,NA,NA,NA,False,29814,385634,506048,506048,1577772,134093863,1149748360,1.18832916813073,18813218,1889714,4.90027850241421
16,True,True,False,5000000,2,NA,NA,NA,NA,False,29814,295411,506048,506048,1577772,49980454,546742201,1.62189283024802,18813218,658401,2.22876263917051
